Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-04-17 09:26:15.490 -0400,"Failure",0:00:00,1,0,0,"20240417_092615.490/LogFile.txt","","Connection Failed -- Unable to connect to Server:C:/ScriptRepositories/CompareScreens.suite/Resources/grey.png on port:0\nInvalid hostname or IP address: No such host is known. \n",0
2024-04-17 09:28:18.892 -0400,"Success",0:00:03,0,0,0,"20240417_092818.892/LogFile.txt","","",1
2024-04-17 09:55:29.767 -0400,"Success",0:00:10,0,0,0,"20240417_095529.767/LogFile.txt","","",1
2024-04-17 09:56:33.392 -0400,"Success",0:00:18,0,0,0,"20240417_095633.392/LogFile.txt","","",1
2024-04-17 09:58:12.576 -0400,"Success",0:00:34,0,1,0,"20240417_095812.576/LogFile.txt","","",1
